feature_number,feature_name,feature_group,formula_for_report,observable_at_1550_ET_on_day_t,why_no_lookahead_bias,next_check
11,month,calendar,month_t = calendar month number of date t.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
12,abs_r_on_today,return_or_return_derived,"abs_r_on_today_i,t = |r_on_today_i,t|.",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
13,cc_reversal_1d,return_or_return_derived,"cc_reversal_1d_i,t = - r_cc_lag1_i,t.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
14,r_cc_lag1,return_or_return_derived,"r_cc_lag1_i,t = r_CC,i,t-1 = Close_adj,i,t-1 / Close_adj,i,t-2 - 1.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
15,r_cc_mean_20_lag1,return_or_return_derived,"r_cc_mean_20_lag1_i,t = (1/20) Σ_{j=1}^{20} r_CC,i,t-j.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
16,r_id_mean_20_lag1,return_or_return_derived,"r_id_mean_20_lag1_i,t = (1/20) Σ_{j=1}^{20} r_ID,i,t-j.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
17,r_id_mean_5_lag1,return_or_return_derived,"r_id_mean_5_lag1_i,t = (1/5) Σ_{j=1}^{5} r_ID,i,t-j.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
18,r_on_mean_5_cs_rank,cross_sectional_rank,"CSRank_i,t(r_on_mean_5) = percentile rank of r_on_mean_5_i,t within the eligible universe U_t on day t.",Observable if base feature r_on_mean_5 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
19,vol_20_lag1,volatility,"vol_20_lag1_i,t = rolling standard deviation of r_CC over days t-20 to t-1.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
20,id_reversal_1d,return_or_return_derived,"id_reversal_1d_i,t = - r_id_lag1_i,t.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
21,r_id_lag1,return_or_return_derived,"r_id_lag1_i,t = r_ID,i,t-1 = Close_adj,i,t-1 / Open_adj,i,t-1 - 1.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
22,abs_r_cc_lag1,return_or_return_derived,"abs_r_cc_lag1_i,t = |r_cc_lag1_i,t|.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
23,r_on_mean_20_cs_rank,cross_sectional_rank,"CSRank_i,t(r_on_mean_20) = percentile rank of r_on_mean_20_i,t within the eligible universe U_t on day t.",Observable if base feature r_on_mean_20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
24,abs_r_on_today_to_vol20,return_or_return_derived,"abs_r_on_today_to_vol20_i,t = |r_on_today_i,t| / (vol_20_lag1_i,t + ε).",Observable at 15:50 ET because current-day open and previous closes are known; denominator volatility is lagged.,"No lookahead because r_ON,t uses Open_t and Close_t-1, both known by 15:50 ET; it does not use r_ON,t+1.",OK for report after confirming code evidence.
25,r_on_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_on_lag1) = percentile rank of r_on_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_on_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
26,day_of_week,calendar,day_of_week_t = calendar weekday code of date t.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
27,id_mom_5_20,return_or_return_derived,"id_mom_5_20_i,t = r_id_mean_5_lag1_i,t - r_id_mean_20_lag1_i,t.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
28,r_cc_lag1_to_vol20,return_or_return_derived,"r_cc_lag1_to_vol20_i,t = r_cc_lag1_i,t / (vol_20_lag1_i,t + ε).","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
29,vol_60_lag1,volatility,"vol_60_lag1_i,t = rolling standard deviation of r_CC over days t-60 to t-1.","Observable at 15:50 ET because it uses t-1 or earlier close-to-close/intraday returns, or lagged rolling statistics.",No lookahead because the formula uses lagged returns/statistics through t-1 and excludes Close_t when Close_t is not observable.,OK for report after confirming code evidence.
30,on_mom_5_20_cs_rank,cross_sectional_rank,"CSRank_i,t(on_mom_5_20) = percentile rank of on_mom_5_20_i,t within the eligible universe U_t on day t.",Observable if base feature on_mom_5_20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
31,r_cc_mean_5_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_cc_mean_5_lag1) = percentile rank of r_cc_mean_5_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_cc_mean_5_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
32,cc_reversal_1d_cs_rank,cross_sectional_rank,"CSRank_i,t(cc_reversal_1d) = percentile rank of cc_reversal_1d_i,t within the eligible universe U_t on day t.",Observable if base feature cc_reversal_1d is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
33,on_reversal_1d_cs_rank,cross_sectional_rank,"CSRank_i,t(on_reversal_1d) = percentile rank of on_reversal_1d_i,t within the eligible universe U_t on day t.",Observable if base feature on_reversal_1d is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
34,id_reversal_1d_cs_rank,cross_sectional_rank,"CSRank_i,t(id_reversal_1d) = percentile rank of id_reversal_1d_i,t within the eligible universe U_t on day t.",Observable if base feature id_reversal_1d is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
35,r_cc_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_cc_lag1) = percentile rank of r_cc_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_cc_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
36,dtcn_change_5_lag1,short_interest,"dtcn_change_5_lag1_i,t = (dtcn_i,t-1 - dtcn_i,t-6), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
37,r_id_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_id_lag1) = percentile rank of r_id_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_id_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
38,r_on_today_cs_rank,cross_sectional_rank,"CSRank_i,t(r_on_today) = percentile rank of r_on_today_i,t within the eligible universe U_t on day t.",Observable if base feature r_on_today is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
39,abs_r_cc_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(abs_r_cc_lag1) = percentile rank of abs_r_cc_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature abs_r_cc_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
40,abs_r_on_today_cs_rank,cross_sectional_rank,"CSRank_i,t(abs_r_on_today) = percentile rank of abs_r_on_today_i,t within the eligible universe U_t on day t.",Observable if base feature abs_r_on_today is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
41,cc_mom_5_20_cs_rank,cross_sectional_rank,"CSRank_i,t(cc_mom_5_20) = percentile rank of cc_mom_5_20_i,t within the eligible universe U_t on day t.",Observable if base feature cc_mom_5_20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
42,is_month_end,calendar,is_month_end_t = 1{date t is month end}.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
43,ddtcn_change_5_lag1,short_interest,"ddtcn_change_5_lag1_i,t = (ddtcn_i,t-1 - ddtcn_i,t-6), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
44,r_id_mean_5_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_id_mean_5_lag1) = percentile rank of r_id_mean_5_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_id_mean_5_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
45,vol_20_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(vol_20_lag1) = percentile rank of vol_20_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature vol_20_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
46,id_mom_5_20_cs_rank,cross_sectional_rank,"CSRank_i,t(id_mom_5_20) = percentile rank of id_mom_5_20_i,t within the eligible universe U_t on day t.",Observable if base feature id_mom_5_20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
47,vol_60_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(vol_60_lag1) = percentile rank of vol_60_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature vol_60_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
48,r_cc_mean_20_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_cc_mean_20_lag1) = percentile rank of r_cc_mean_20_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_cc_mean_20_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
49,gap_vs_on_mean20_cs_rank,cross_sectional_rank,"CSRank_i,t(gap_vs_on_mean20) = percentile rank of gap_vs_on_mean20_i,t within the eligible universe U_t on day t.",Observable if base feature gap_vs_on_mean20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
50,r_on_today_to_vol20_cs_rank,cross_sectional_rank,"CSRank_i,t(r_on_today_to_vol20) = percentile rank of r_on_today_to_vol20_i,t within the eligible universe U_t on day t.",Observable if base feature r_on_today_to_vol20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
51,dtcn_change_5,short_interest,"dtcn_change_5_i,t = (dtcn_i,t - dtcn_i,t-5), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
52,dsi_change_5_lag1,short_interest,"dsi_change_5_lag1_i,t = (dsi_i,t-1 - dsi_i,t-6), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
53,r_id_mean_20_lag1_cs_rank,cross_sectional_rank,"CSRank_i,t(r_id_mean_20_lag1) = percentile rank of r_id_mean_20_lag1_i,t within the eligible universe U_t on day t.",Observable if base feature r_id_mean_20_lag1 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
54,abs_r_on_today_to_vol20_cs_rank,cross_sectional_rank,"CSRank_i,t(abs_r_on_today_to_vol20) = percentile rank of abs_r_on_today_to_vol20_i,t within the eligible universe U_t on day t.",Observable if base feature abs_r_on_today_to_vol20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
55,ddtcn_change_5,short_interest,"ddtcn_change_5_i,t = (ddtcn_i,t - ddtcn_i,t-5), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
56,r_cc_lag1_to_vol20_cs_rank,cross_sectional_rank,"CSRank_i,t(r_cc_lag1_to_vol20) = percentile rank of r_cc_lag1_to_vol20_i,t within the eligible universe U_t on day t.",Observable if base feature r_cc_lag1_to_vol20 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
57,is_monday,calendar,is_monday_t = 1{day_of_week_t = Monday}.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
58,is_month_start,calendar,is_month_start_t = 1{date t is month start}.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
59,price_for_filter,liquidity_size,"price_for_filter_i,t = Close_adj,i,t-1, used as the price/liquidity eligibility input.","Observable at 15:50 ET if constructed from previous close, past ADV, or year-start market cap; it must not use full-day t volume or Close_t.",No lookahead if based on lagged price/ADV or frozen year-start market cap; does not use Open_t+1 or the target.,OK: code evidence shows price_for_filter = Close_t shifted by 1.
60,log_price_for_filter,liquidity_size,"log_price_for_filter_i,t = log(1 + max(price_for_filter_i,t, 0)).","Observable at 15:50 ET if constructed from previous close, past ADV, or year-start market cap; it must not use full-day t volume or Close_t.",No lookahead if based on lagged price/ADV or frozen year-start market cap; does not use Open_t+1 or the target.,OK for report after confirming code evidence.
61,is_year_end,calendar,is_year_end_t = 1{date t is year end}.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
62,is_friday,calendar,is_friday_t = 1{day_of_week_t = Friday}.,Observable from the calendar date t before the decision time.,No future prices or future target returns are used; only the date t calendar state is used.,OK for report after confirming code evidence.
63,dtcn_lag1,short_interest,"dtcn_lag1_i,t = dtcn_i,t-1, using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
64,dtcn,short_interest,"dtcn_i,t = latest public days-to-cover value available by day t after the short-interest publication lag.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
65,log_market_cap,liquidity_size,"log_market_cap_i,t = log(1 + max(year_start_market_cap_i,t, 0)).","Observable at 15:50 ET if constructed from previous close, past ADV, or year-start market cap; it must not use full-day t volume or Close_t.",No lookahead if based on lagged price/ADV or frozen year-start market cap; does not use Open_t+1 or the target.,VERIFY: confirm year_start_market_cap is frozen using information available at/near year start.
66,dsi_change_20_lag1,short_interest,"dsi_change_20_lag1_i,t = (dsi_i,t-1 - dsi_i,t-21), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
67,ddtcn_change_20_lag1,short_interest,"ddtcn_change_20_lag1_i,t = (ddtcn_i,t-1 - ddtcn_i,t-21), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
68,dtcn_lag20,short_interest,"dtcn_lag20_i,t = dtcn_i,t-20, using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
69,log_adv20,liquidity_size,"log_adv20_i,t = log(1 + max(ADV20_i,t, 0)), where ADV20 is based on past 20 trading days.","Observable at 15:50 ET if constructed from previous close, past ADV, or year-start market cap; it must not use full-day t volume or Close_t.",No lookahead if based on lagged price/ADV or frozen year-start market cap; does not use Open_t+1 or the target.,"VERIFY: confirm ADV20 uses t-20 to t-1, not full-day t volume."
70,ddtcn_change_5_cs_rank,cross_sectional_rank,"CSRank_i,t(ddtcn_change_5) = percentile rank of ddtcn_change_5_i,t within the eligible universe U_t on day t.",Observable if base feature ddtcn_change_5 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
71,dtcn_change_20,short_interest,"dtcn_change_20_i,t = (dtcn_i,t - dtcn_i,t-20), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
72,market_cap_rank,cross_sectional_rank,Cross-sectional rank of year_start_market_cap within the yearly universe; lower rank means larger/smaller depending on original construction.,Observable if base feature market_cap_rank is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,VERIFY: confirm year_start_market_cap is frozen using information available at/near year start.
73,dsi_change_5_cs_rank,cross_sectional_rank,"CSRank_i,t(dsi_change_5) = percentile rank of dsi_change_5_i,t within the eligible universe U_t on day t.",Observable if base feature dsi_change_5 is observable at 15:50 ET; ranking uses only same-day eligible cross-section U_t.,No lookahead if the base variable is point-in-time; cross-sectional ranking itself does not use future returns.,OK for report after confirming code evidence.
74,dsi_change_5,short_interest,"dsi_change_5_i,t = (dsi_i,t - dsi_i,t-5), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
75,dtcn_change_20_lag1,short_interest,"dtcn_change_20_lag1_i,t = (dtcn_i,t-1 - dtcn_i,t-21), using the point-in-time public short-interest series.",Observable only if the series has already applied the reporting/publication lag and uses the latest public value by 15:50 ET.,"No lookahead after publication-lag adjustment: the value at t is the latest public report/value, not a future report.",VERIFY: confirm Stage 3 applied publication lag before forward-fill.
